,,朝のひかりが差し込む花畑。,,
,,そこで花を手入れしている一人の少女が居た。,,
,,彼女の名は“フィオーレ”,,
,,花の種族として生まれ、花と共に生きる少女。,,
,,そんな彼女の視界に、見慣れない影が差した。,,
,？？？,きれい...こんな場所、地図にもなかったのに,,
,,見知らぬ人間の少女がスケッチブックを持って,,
,,花畑の中に立っていた。,,
,フィオーレ,......あなた、人間？,,
,？？？,えっ、？あ、うん。人間、です。<br>あなたは......？,,
,フィオーレ,私はフィオーレ。ここで花のお世話をしてるの,,
,,その名を口にした瞬間、ステラの目がぱっと輝いた。,,
,？？？,フィオーレ......名前までお花みたい！とても素敵ね！,,
,フィオーレ,そう......？　ありがとう。あなたの名前は？,,
,ステラ,ステラ。星って意味なんだ。お花と星ってなんだかちょっと似てるかもね,,
,,二人は顔を見合わせて笑った。,,
,,風が吹き抜け、花の香りがふわりと漂う。,,
,ステラ,ここ、絵にかいてもいい？,,
,フィオーレ,......好きにしていいよ。花たちも見られるのはうれしいと思うから。,,
,,その日から、ステラはよくこの花畑に通うようになった。,,
,,彼女は絵をかき、フィオーレは花の話をした。,,
,,人間と花の種族――,,
,,本来、交わるはずのない二人。,,
,,けれど、気づけばいつも並んで笑っていた。,,
,ステラ,ねえ、フィオーレ。花って、どうしてこんなにすぐ散っちゃうんだろ。,,
,フィオーレ,......それが、この世界での“生き方”だから,,
,,その声には、少しだけさみしさが混ざっていた。,,
,,ステラは問いかけようとしたが、結局、何も言えなかった。,,
,,,,
,,,,
,,,,
,,,,
,りんごさん,僕は赤くて甘いよ！,,groundA
,バナナちゃん,私は黄色くて甘いわよ！,,groundB
,レモンちゃん,わたくしは黄色くて、すっぱいですわ！,,groundA
,みかんさん,僕はオレンジ色で、すっぱいよ！,,groundB
,レモンちゃん,ここで問題です！私は何色でどんな味?,,
Select2,,,,
,黄色くて、すっぱい！,JumpCommand,Jump_A,
,黄色くて、甘い！,JumpCommand,Jump_B,
Jump_A_Start,,,,
,レモンちゃん,正解ですわ！,,
,レモンちゃん,わたくしのことをよくご存じですわね！,,
,レモンちゃん,好感度が１上がった！,,
JumpCommand,Jump_Main_ReDirect,,,
Jump_B_Start,,,,
,レモンちゃん,不正解ですわ！,,
,レモンちゃん,わたくしのことを..お嫌いですの…?,,
JumpCommand_Scenario_End,レモンちゃん,好感度が１下がった！,,
JumpCommand,Jump_Main_ReDirect,,,
Jump_Main_ReDirect_Start,,,,
,システム,シナリオ終わり,,
Scenario_End,,,,